IP,Country,Continent,ASN,Owner,Network,Malicious_Votes,Suspicious_Votes,Harmless_Votes,Undetected_Votes,Total_Reports,Reputation_Score,Threat_Label,Threat_Category,Regional_Registry,WHOIS_Summary,Tor_Node,Times_Submitted,Last_Analysis_Date,Threat_Severity,Data_Source,Enrichment_Breakdown
193.169.255.100,PL,EU,Unknown,Unknown,Unknown,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"NetRange: 193.0.0.0 - 193.255.255.255
CIDR: 193.0.0.0/8
NetName: RIPE-CBLK
NetHandle: NET-193-0-0-0-",No,0,,Low,csv_import,
193.169.255.101,PL,EU,Unknown,Unknown,Unknown,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"NetRange: 193.0.0.0 - 193.255.255.255
CIDR: 193.0.0.0/8
NetName: RIPE-CBLK
NetHandle: NET-193-0-0-0-",No,0,,Low,csv_import,
193.169.255.102,PL,EU,Unknown,Unknown,Unknown,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"inetnum: 193.169.252.0 - 193.169.255.255
netname: PL-SPRINT-20180508
country: PL
org: ORG-Szo5-RIPE",Yes,0,,Low,csv_import,
193.169.255.103,PL,EU,Unknown,Unknown,Unknown,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"NetRange: 193.0.0.0 - 193.255.255.255
CIDR: 193.0.0.0/8
NetName: RIPE-CBLK
NetHandle: NET-193-0-0-0-",No,0,,Low,csv_import,
62.210.100.50,FR,EU,12876.0,Scaleway SAS,62.210.0.0/16,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"inetnum: 62.210.0.0 - 62.210.127.255
org: ORG-ONLI1-RIPE
netname: SCALEWAY-DEDIBOX
descr: Scaleway D",No,0,,Low,csv_import,
62.210.100.51,FR,EU,12876.0,Scaleway SAS,62.210.0.0/16,0,0,56,35,91,0.0,unrated,clean,RIPE NCC,"inetnum: 62.210.0.0 - 62.210.127.255
org: ORG-ONLI1-RIPE
netname: SCALEWAY-DEDIBOX
descr: Scaleway D",No,0,,Low,csv_import,
62.210.100.52,FR,EU,12876.0,Scaleway SAS,62.210.0.0/16,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"inetnum: 62.210.0.0 - 62.210.127.255
org: ORG-ONLI1-RIPE
netname: SCALEWAY-DEDIBOX
descr: Scaleway D",No,0,,Low,csv_import,
62.210.100.53,FR,EU,12876.0,Scaleway SAS,62.210.0.0/16,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"inetnum: 62.210.0.0 - 62.210.127.255
org: ORG-ONLI1-RIPE
netname: SCALEWAY-DEDIBOX
descr: Scaleway D",No,0,,Low,csv_import,
45.95.168.100,HR,EU,211619.0,MAXKO d.o.o.,45.95.168.0/23,3,0,54,34,91,0.0,unrated,clean,RIPE NCC,"inetnum: 45.95.168.0 - 45.95.168.255
org: ORG-MJ181-RIPE
netname: MAXKO
country: HR
admin-c: DF8797-",No,0,,Low,csv_import,
45.95.168.101,HR,EU,211619.0,MAXKO d.o.o.,45.95.168.0/23,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,"inetnum: 45.95.168.0 - 45.95.168.255
org: ORG-MJ181-RIPE
abuse-c: AR53781-RIPE
netname: MAXKO
countr",No,0,,Low,csv_import,
45.95.168.102,HR,EU,211619.0,MAXKO d.o.o.,45.95.168.0/23,8,1,45,37,91,0.0,unrated,malware,RIPE NCC,"inetnum: 45.95.168.0 - 45.95.168.255
org: ORG-MJ181-RIPE
netname: MAXKO
country: HR
admin-c: DF8797-",No,0,,Medium,csv_import,
45.95.168.103,HR,EU,211619.0,MAXKO d.o.o.,45.95.168.0/23,7,0,48,36,91,0.0,unrated,clean,RIPE NCC,"inetnum: 45.95.168.0 - 45.95.168.255
org: ORG-MJ181-RIPE
netname: MAXKO
country: HR
admin-c: DF8797-",No,0,,Medium,csv_import,
185.106.94.100,VG,Unknown,204339.0,First Server Limited,185.106.94.0/24,0,0,0,91,91,0.0,unrated,unrated,ARIN,Unknown,No,0,,Low,csv_import,
185.106.94.101,VG,Unknown,204339.0,First Server Limited,185.106.94.0/24,0,0,0,91,91,0.0,unrated,unrated,ARIN,"inetnum: 185.106.94.0 - 185.106.94.255
netname: Aeza-Network
country: AT
org: ORG-AGL38-RIPE
geofeed",No,0,,Low,csv_import,
185.106.94.102,VG,Unknown,204339.0,First Server Limited,185.106.94.0/24,0,1,54,36,91,0.0,unrated,clean,ARIN,"inetnum: 185.106.94.0 - 185.106.94.255
org: ORG-FA790-RIPE
geofeed: https://geofeed.first-server.net",No,0,,Low,csv_import,
185.106.94.103,VG,Unknown,204339.0,First Server Limited,185.106.94.0/24,0,0,0,91,91,0.0,unrated,unrated,ARIN,Unknown,No,0,,Low,csv_import,
46.249.32.100,NL,EU,50673.0,Serverius Holding B.V.,46.249.32.0/19,0,0,58,33,91,0.0,unrated,clean,RIPE NCC,"inetnum: 46.249.32.0 - 46.249.32.255
netname: SERVERIUSCUSTOMER
descr: Customer IP range
remarks: Pl",No,0,,Low,csv_import,
46.249.32.101,NL,EU,50673.0,Serverius Holding B.V.,46.249.32.0/19,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,Unknown,No,0,,Low,csv_import,
46.249.32.102,NL,EU,50673.0,Serverius Holding B.V.,46.249.32.0/19,9,0,45,37,91,-4.0,unrated,clean,RIPE NCC,"inetnum: 46.249.32.0 - 46.249.32.255
netname: SERVERIUSCUSTOMER
descr: Customer IP range
remarks: Pl",No,0,,Medium,csv_import,
46.249.32.103,NL,EU,50673.0,Serverius Holding B.V.,46.249.32.0/19,0,0,54,37,91,0.0,unrated,clean,RIPE NCC,"inetnum: 46.249.32.0 - 46.249.32.255
netname: SERVERIUSCUSTOMER
descr: Customer IP range
remarks: Pl",No,0,,Low,csv_import,
185.234.218.100,TR,AS,Unknown,Unknown,Unknown,0,0,57,34,91,0.0,unrated,clean,RIPE NCC,"inetnum: 185.234.218.0 - 185.234.218.255
netname: NL-3WINFRA-NET-20211123
country: NL
org: ORG-IB162",No,0,,Low,csv_import,
185.234.218.101,TR,AS,Unknown,Unknown,Unknown,0,0,1,90,91,0.0,unrated,unrated,RIPE NCC,"inetnum: 185.234.218.0 - 185.234.218.255
netname: NL-3WINFRA-NET-20211123
country: NL
org: ORG-IB162",No,0,,Low,csv_import,
185.234.218.102,TR,AS,Unknown,Unknown,Unknown,0,0,57,34,91,0.0,unrated,clean,RIPE NCC,"inetnum: 185.234.218.0 - 185.234.218.255
netname: NL-3WINFRA-NET-20211123
country: NL
org: ORG-IB162",No,0,,Low,csv_import,
185.234.218.103,TR,AS,Unknown,Unknown,Unknown,0,0,55,36,91,0.0,unrated,clean,RIPE NCC,"inetnum: 185.234.218.0 - 185.234.218.255
netname: NL-3WINFRA-NET-20211123
country: NL
org: ORG-IB162",No,0,,Low,csv_import,
222.186.30.100,CN,AS,4134.0,Chinanet,222.186.0.0/15,0,0,0,91,91,0.0,unrated,unrated,APNIC,Unknown,No,0,,Low,csv_import,
222.186.30.101,CN,AS,4134.0,Chinanet,222.186.0.0/15,0,0,0,91,91,0.0,unrated,unrated,APNIC,"inetnum: 222.184.0.0 - 222.191.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network",No,0,,Low,csv_import,
222.186.30.102,CN,AS,4134.0,Chinanet,222.186.0.0/15,0,0,0,91,91,0.0,unrated,unrated,APNIC,"inetnum: 222.184.0.0 - 222.191.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network",No,0,,Low,csv_import,
222.186.30.103,CN,AS,4134.0,Chinanet,222.186.0.0/15,0,0,0,91,91,0.0,unrated,unrated,APNIC,"inetnum: 222.184.0.0 - 222.191.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network",No,0,,Low,csv_import,
218.92.0.100,CN,AS,4134.0,Chinanet,218.92.0.0/16,3,1,53,34,91,0.0,clean,clean,APNIC,"inetnum: 218.90.0.0 - 218.94.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network
d",No,0,,Low,csv_import,
218.92.0.101,CN,AS,4134.0,Chinanet,218.92.0.0/16,1,0,54,36,91,0.0,unrated,clean,APNIC,"inetnum: 218.90.0.0 - 218.94.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network
d",No,0,,Low,csv_import,
218.92.0.102,CN,AS,4134.0,Chinanet,218.92.0.0/16,0,1,54,36,91,0.0,unrated,clean,APNIC,"inetnum: 218.90.0.0 - 218.94.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network
d",No,0,,Low,csv_import,
218.92.0.103,CN,AS,4134.0,Chinanet,218.92.0.0/16,5,1,51,34,91,-1.0,unrated,clean,APNIC,"inetnum: 218.90.0.0 - 218.94.255.255
netname: CHINANET-JS
descr: CHINANET jiangsu province network
d",No,0,,Medium,csv_import,
61.177.173.100,CN,AS,4134.0,Chinanet,61.177.128.0/17,0,0,0,91,91,0.0,unrated,unrated,APNIC,"NetRange: 61.0.0.0 - 61.255.255.255
CIDR: 61.0.0.0/8
NetName: APNIC3
NetHandle: NET-61-0-0-0-1
Paren",No,0,,Low,csv_import,
61.177.173.101,CN,AS,4134.0,Chinanet,61.177.128.0/17,0,0,0,91,91,0.0,unrated,unrated,APNIC,Unknown,No,0,,Low,csv_import,
61.177.173.102,CN,AS,4134.0,Chinanet,61.177.128.0/17,0,0,0,91,91,0.0,unrated,unrated,APNIC,"NetRange: 61.0.0.0 - 61.255.255.255
CIDR: 61.0.0.0/8
NetName: APNIC3
NetHandle: NET-61-0-0-0-1
Paren",No,0,,Low,csv_import,
61.177.173.103,CN,AS,4134.0,Chinanet,61.177.128.0/17,0,0,0,91,91,0.0,unrated,unrated,APNIC,"NetRange: 61.0.0.0 - 61.255.255.255
CIDR: 61.0.0.0/8
NetName: APNIC3
NetHandle: NET-61-0-0-0-1
Paren",No,0,,Low,csv_import,
185.176.100.50,IE,EU,206746.0,Scc Broadband Limited,185.176.100.0/22,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,nan,No,0,,Low,csv_import,
185.176.100.51,IE,EU,206746.0,Scc Broadband Limited,185.176.100.0/22,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,Unknown,No,0,,Low,csv_import,
185.176.100.52,IE,EU,206746.0,Scc Broadband Limited,185.176.100.0/22,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,Unknown,No,0,,Low,csv_import,
185.176.100.53,IE,EU,206746.0,Scc Broadband Limited,185.176.100.0/22,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,Unknown,No,0,,Low,csv_import,
45.142.122.100,VG,Unknown,205090.0,First Server Limited,45.142.122.0/24,0,1,53,37,91,0.0,unrated,clean,ARIN,"NetRange: 45.139.136.0 - 45.150.51.255
CIDR: 45.139.192.0/18, 45.150.48.0/22, 45.139.144.0/20, 45.15",No,0,,Low,csv_import,
45.142.122.101,VG,Unknown,205090.0,First Server Limited,45.142.122.0/24,0,0,0,91,91,0.0,unrated,unrated,ARIN,Unknown,No,0,,Low,csv_import,
45.142.122.102,VG,Unknown,205090.0,First Server Limited,45.142.122.0/24,1,0,54,36,91,0.0,unrated,clean,ARIN,"NetRange: 45.139.136.0 - 45.150.51.255
CIDR: 45.148.0.0/15, 45.139.160.0/19, 45.140.0.0/14, 45.144.0",No,0,,Low,csv_import,
45.142.122.103,VG,Unknown,205090.0,First Server Limited,45.142.122.0/24,0,0,0,91,91,0.0,unrated,unrated,ARIN,"inetnum: 45.142.122.0 - 45.142.122.255
netname: aeza-net-1
country: RU
org: ORG-AGL42-RIPE
admin-c:",No,0,,Low,csv_import,
194.40.243.100,UA,EU,48693.0,Rices Privately owned enterprise,194.40.243.0/24,1,0,53,37,91,0.0,unrated,clean,RIPE NCC,"inetnum: 194.40.243.0 - 194.40.243.255
netname: Ntup
country: NL
admin-c: NA7006-RIPE
tech-c: NA7006",No,0,,Low,csv_import,
194.40.243.101,UA,EU,48693.0,Rices Privately owned enterprise,194.40.243.0/24,0,0,54,37,91,0.0,unrated,clean,RIPE NCC,"inetnum: 194.40.243.0 - 194.40.243.255
netname: Ntup
country: NL
admin-c: NA7006-RIPE
tech-c: NA7006",No,0,,Low,csv_import,
194.40.243.102,UA,EU,48693.0,Rices Privately owned enterprise,194.40.243.0/24,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,Unknown,No,0,,Low,csv_import,
194.40.243.103,UA,EU,48693.0,Rices Privately owned enterprise,194.40.243.0/24,0,0,0,91,91,0.0,unrated,unrated,RIPE NCC,Unknown,No,0,,Low,csv_import,
27.64.20.36,VN,AS,7552 viettel group,Viettel Group,27.64.20.36/32,0,0,5,0,0,5.0,clean,clean,APNIC,"ISP: Viettel Group
Domain: viettel.com.vn
Network: VIETTEL-VN
abuse: IRT-VNNIC-AP
technical: Nguyen Dang Tiep
administrative: Tran Van Thanh",No,1,2026-05-29,Low,live_api,"[{""source_type"": ""IP"", ""source_key"": ""27.64.20.36"", ""engine"": ""RDAP"", ""verdict"": ""INFORMATIONAL"", ""confidence"": ""LOW"", ""score"": 0.0, ""note"": ""RDAP network: VIETTEL-VN"", ""summary"": ""RDAP network: VIETTEL-VN""}]"
103.118.246.189,HK,AS,55933 cloudie limited,Sakura Network Limited,103.118.246.189/32,30,0,1,0,5,-2.0,suspicious,unrated,APNIC,"ISP: Sakura Network Limited
Domain: sakura.as",No,6,2026-05-24,Medium,csv_import,
91.195.240.19,DE,EU,47846 sedo,Sedo Domain Parking,91.195.240.19/32,90,2,1,0,16,-8.0,malicious,malware,RIPE NCC,"ISP: Sedo Domain Parking
Domain: sedo.com",No,17,2026-05-24,Critical,csv_import,
59.103.203.250,PK,AS,136525 wancom (pvt) ltd.,"Narrowband HSI Pool for Hyderabad, Pakistan",59.103.203.250/32,45,0,1,0,3,-3.5,malicious,malware,APNIC,"ISP: Narrowband HSI Pool for Hyderabad, Pakistan
Domain: ptcl.net.pk",No,4,2026-05-24,Medium,csv_import,
172.67.137.126,US,nan,13335 cloudflare,"Cloudflare, Inc.",172.67.137.126/32,0,0,5,0,0,5.0,clean,clean,ARIN,"ISP: Cloudflare, Inc.
Domain: cloudflare.com
Network: CLOUDFLARENET
registrant: Cloudflare, Inc.
abuse: Abuse
technical: Admin
noc: NOC",No,1,2026-05-25,Low,csv_import,
103.171.86.69,IN,AS,140129 maba safenet broadband services private limited,Maba Safenet Broadband Services Private Limited,103.171.86.69/32,30,0,1,0,7,-2.0,suspicious,unrated,APNIC,"ISP: Maba Safenet Broadband Services Private Limited
Domain: mabasafenet.com",No,8,2026-05-24,Medium,csv_import,
195.135.79.84,FR,EU,8399 sewan sas,SEWAN SAS,195.135.79.84/32,48,0,1,0,18,-3.8,malicious,malware,RIPE NCC,"ISP: SEWAN SAS
Domain: sewan.fr
Network: FR-SEWAN-970501
administrative: Alexis de Goriainoff
administrative: NOC AS8399
administrative: NOC AS8399
registrant: MNT-SEWAN
registrant: SEWAN SAS
registrant: RIPE-NCC-HM-MNT
abuse: NOC AS8399",No,19,2026-05-25,Medium,csv_import,
127.0.0.1,Unknown,Unknown,Unknown,Unknown ISP,127.0.0.1/32,15,0,1,0,4288,-0.5,malicious,malware,Unknown,Unknown,No,4289,2026-05-25,Low,csv_import,
172.253.132.207,US,nan,15169 google llc,Google LLC,172.253.132.207/32,15,0,1,0,0,-0.5,suspicious,unrated,ARIN,"ISP: Google LLC
Domain: google.com
Network: GOOGLE
registrant: Google LLC",No,1,2026-05-25,Low,csv_import,
103.115.57.139,HK,AS,55933 cloudie limited,Rainbow Network Limited,103.115.57.139/32,30,0,1,0,5,-2.0,suspicious,unrated,APNIC,"ISP: Rainbow Network Limited
Domain: rainbownetworkbd.com
Network: Ybnetwork
technical: IP administrator",No,6,2026-05-25,Medium,csv_import,
113.141.73.248,CN,AS,134768 chinanet shaanxi province cloud base network,CHINANET SHAANXI PROVINCE NETWORK,113.141.73.248/32,45,0,1,0,34,-3.5,malicious,malware,APNIC,"ISP: CHINANET SHAANXI PROVINCE NETWORK
Domain: xa.sn.cn
Network: CHINANET-SN
abuse: IRT-CHINANET-CN
administrative: Xianghong Cao",No,35,2026-05-29,Medium,live_api,"[{""source_type"": ""IP"", ""source_key"": ""113.141.73.248"", ""engine"": ""AbuseIPDB"", ""verdict"": ""SUSPICIOUS"", ""confidence"": ""MEDIUM"", ""score"": 3.1, ""note"": ""AbuseIPDB confidence score: 31"", ""summary"": ""AbuseIPDB confidence score: 31""}, {""source_type"": ""IP"", ""source_key"": ""113.141.73.248"", ""engine"": ""VirusTotal"", ""verdict"": ""MALICIOUS"", ""confidence"": ""MEDIUM"", ""score"": 3, ""note"": ""VirusTotal: 3 malicious engines"", ""summary"": ""VirusTotal: 3 malicious engines""}, {""source_type"": ""IP"", ""source_key"": ""113.141.73.248"", ""engine"": ""RDAP"", ""verdict"": ""INFORMATIONAL"", ""confidence"": ""LOW"", ""score"": 0.0, ""note"": ""RDAP network: CHINANET-SN"", ""summary"": ""RDAP network: CHINANET-SN""}]"
2607:f8b0:4864:20::1242,US,NA,15169 google llc,Google LLC,2607:f8b0:4864:20::1242/32,0,0,5,0,9,5.0,suspicious,unrated,ARIN,"ISP: Google LLC
Domain: google.com
Network: GOOGLE-IPV6
registrant: Google LLC",No,10,2026-05-29,Low,live_api,"[{""source_type"": ""IP"", ""source_key"": ""2607:f8b0:4864:20::1242"", ""engine"": ""RDAP"", ""verdict"": ""INFORMATIONAL"", ""confidence"": ""LOW"", ""score"": 0.0, ""note"": ""RDAP network: GOOGLE-IPV6"", ""summary"": ""RDAP network: GOOGLE-IPV6""}]"
172.233.115.32,ES,EU,20940 akamai international b.v.,Linode,172.233.115.32/32,23,0,1,0,29,-1.2999999999999998,malicious,malware,RIPE NCC,"ISP: Linode
Domain: linode.com
Network: LINODE
registrant: Linode
noc: Linode Network Operations
abuse: Linode Abuse Support",No,30,2026-05-29,Medium,live_api,"[{""source_type"": ""IP"", ""source_key"": ""172.233.115.32"", ""engine"": ""AbuseIPDB"", ""verdict"": ""SUSPICIOUS"", ""confidence"": ""MEDIUM"", ""score"": 2.3, ""note"": ""AbuseIPDB confidence score: 23"", ""summary"": ""AbuseIPDB confidence score: 23""}, {""source_type"": ""IP"", ""source_key"": ""172.233.115.32"", ""engine"": ""RDAP"", ""verdict"": ""INFORMATIONAL"", ""confidence"": ""LOW"", ""score"": 0.0, ""note"": ""RDAP network: LINODE"", ""summary"": ""RDAP network: LINODE""}]"
185.220.101.42,DE,EU,Unknown,Network for Tor-Exit traffic.,185.220.101.32/27,255,2,1,0,106,-24.5,malicious,malware,RIPE NCC,"ISP: Network for Tor-Exit traffic.
Domain: for-privacy.net
Network: TOR-EXIT
registrant: FORPRIVACYNET-MNT
administrative: Marco Maske
registrant: ForPrivacyNET
registrant: ZWIEBELFREUNDE
abuse: Abuse contact role object",Yes,107,2026-05-29,Critical,live_api,"[{""source_type"": ""IP"", ""source_key"": ""185.220.101.42"", ""engine"": ""AbuseIPDB"", ""verdict"": ""MALICIOUS"", ""confidence"": ""HIGH"", ""score"": 10.0, ""note"": ""AbuseIPDB confidence score: 100"", ""summary"": ""AbuseIPDB confidence score: 100""}, {""source_type"": ""IP"", ""source_key"": ""185.220.101.42"", ""engine"": ""VirusTotal"", ""verdict"": ""MALICIOUS"", ""confidence"": ""HIGH"", ""score"": 10.0, ""note"": ""VirusTotal: 17 malicious engines"", ""summary"": ""VirusTotal: 17 malicious engines""}, {""source_type"": ""IP"", ""source_key"": ""185.220.101.42"", ""engine"": ""RDAP"", ""verdict"": ""INFORMATIONAL"", ""confidence"": ""LOW"", ""score"": 0.0, ""note"": ""RDAP network: TOR-EXIT"", ""summary"": ""RDAP network: TOR-EXIT""}]"
103.27.250.102,ID,AS,None ,Perhimpunan Klik Indonesia,103.27.250.102/32,43,0,1,0,6,-3.3,malicious,malware,APNIC,"ISP: Perhimpunan Klik Indonesia
Domain: klikindonesia.or.id
Network: OPENIP-AS-AP
abuse: IRT-OPENIP-ID
registrant: Perhimpunan Klik Indonesia
technical: Perhimpunan Klik Indonesia - network administrator",No,7,2026-05-29,Medium,live_api,"[{""source_type"": ""IP"", ""source_key"": ""103.27.250.102"", ""engine"": ""AbuseIPDB"", ""verdict"": ""SUSPICIOUS"", ""confidence"": ""MEDIUM"", ""score"": 4.3, ""note"": ""AbuseIPDB confidence score: 43"", ""summary"": ""AbuseIPDB confidence score: 43""}, {""source_type"": ""IP"", ""source_key"": ""103.27.250.102"", ""engine"": ""VirusTotal"", ""verdict"": ""SUSPICIOUS"", ""confidence"": ""MEDIUM"", ""score"": 2, ""note"": ""VirusTotal: 2 malicious engines"", ""summary"": ""VirusTotal: 2 malicious engines""}, {""source_type"": ""IP"", ""source_key"": ""103.27.250.102"", ""engine"": ""RDAP"", ""verdict"": ""INFORMATIONAL"", ""confidence"": ""LOW"", ""score"": 0.0, ""note"": ""RDAP network: OPENIP-AS-AP"", ""summary"": ""RDAP network: OPENIP-AS-AP""}]"
